,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,82.0,180.0,28.0,17.0,4.0,5.0,5.0,5.0,19.0
1,68.0,147.0,36.0,8.0,18.0,1.0,15.0,27.0,25.0
2,83.0,122.0,49.0,19.0,0.0,6.0,23.0,15.0,29.0
3,88.0,108.0,48.0,10.0,16.0,20.0,6.0,34.0,16.0
4,49.0,156.0,48.0,26.0,9.0,12.0,14.0,9.0,23.0
5,119.0,80.0,29.0,13.0,14.0,11.0,20.0,32.0,26.0
6,88.0,136.0,20.0,29.0,23.0,7.0,1.0,22.0,19.0
7,119.0,85.0,29.0,11.0,14.0,10.0,19.0,34.0,25.0
8,89.0,167.0,37.0,0.0,15.0,2.0,3.0,15.0,18.0
9,119.0,56.0,37.0,17.0,9.0,24.0,19.0,25.0,39.0
10,104.0,134.0,49.0,16.0,3.0,2.0,13.0,9.0,15.0
11,46.0,187.0,25.0,9.0,19.0,0.0,19.0,31.0,10.0
12,102.0,120.0,39.0,11.0,12.0,20.0,17.0,22.0,1.0
13,121.0,94.0,30.0,2.0,24.0,24.0,9.0,12.0,30.0
14,86.0,102.0,34.0,6.0,18.0,21.0,15.0,23.0,39.0
15,122.0,66.0,36.0,9.0,20.0,25.0,10.0,18.0,39.0
16,130.0,126.0,32.0,24.0,9.0,2.0,0.0,4.0,18.0
17,110.0,67.0,38.0,14.0,17.0,24.0,13.0,25.0,38.0
18,110.0,67.0,38.0,13.0,17.0,24.0,13.0,25.0,38.0
19,75.0,150.0,33.0,31.0,15.0,21.0,16.0,3.0,2.0
20,102.0,75.0,42.0,20.0,9.0,17.0,15.0,30.0,35.0
21,109.0,65.0,40.0,13.0,15.0,24.0,14.0,26.0,39.0
22,100.0,100.0,40.0,15.0,8.0,23.0,23.0,10.0,27.0
23,130.0,84.0,20.0,17.0,10.0,23.0,4.0,22.0,35.0
24,117.0,85.0,29.0,14.0,13.0,11.0,21.0,32.0,24.0
25,127.0,56.0,32.0,14.0,21.0,17.0,18.0,25.0,36.0
26,40.0,160.0,50.0,13.0,18.0,5.0,19.0,26.0,14.0
27,62.0,128.0,49.0,16.0,18.0,17.0,14.0,11.0,30.0
28,109.0,60.0,44.0,21.0,23.0,13.0,20.0,23.0,33.0
29,122.0,73.0,42.0,6.0,20.0,14.0,13.0,27.0,28.0
30,72.0,167.0,27.0,8.0,3.0,7.0,9.0,18.0,34.0
31,128.0,82.0,22.0,7.0,19.0,23.0,15.0,15.0,34.0
32,107.0,111.0,43.0,18.0,23.0,14.0,2.0,19.0,9.0
33,118.0,102.0,35.0,28.0,12.0,3.0,12.0,14.0,21.0
34,56.0,160.0,35.0,16.0,3.0,16.0,15.0,23.0,21.0
35,125.0,68.0,33.0,10.0,20.0,15.0,18.0,23.0,34.0
36,129.0,92.0,37.0,21.0,9.0,6.0,13.0,9.0,30.0
37,127.0,57.0,33.0,14.0,21.0,17.0,19.0,24.0,35.0
38,82.0,124.0,35.0,29.0,5.0,23.0,4.0,10.0,33.0
39,50.0,140.0,40.0,28.0,14.0,24.0,21.0,23.0,6.0
40,122.0,66.0,33.0,11.0,21.0,14.0,16.0,26.0,36.0
41,59.0,148.0,52.0,34.0,18.0,10.0,3.0,9.0,13.0
42,130.0,42.0,25.0,14.0,20.0,23.0,20.0,32.0,39.0
43,117.0,115.0,42.0,28.0,23.0,1.0,12.0,2.0,5.0
44,82.0,99.0,37.0,19.0,23.0,8.0,24.0,28.0,25.0
45,81.0,118.0,49.0,21.0,16.0,20.0,19.0,16.0,7.0
46,84.0,112.0,34.0,34.0,10.0,8.0,24.0,17.0,24.0
47,111.0,63.0,42.0,10.0,17.0,24.0,11.0,34.0,32.0
