,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,359.0,256.0,71.0,95.0,102.0
1,416.0,318.0,256.0,80.0,128.0,102.0
2,416.0,314.0,256.0,62.0,150.0,102.0
3,416.0,300.0,256.0,76.0,150.0,102.0
4,416.0,335.0,256.0,71.0,120.0,102.0
5,416.0,335.0,256.0,109.0,82.0,102.0
6,416.0,390.0,256.0,50.0,86.0,102.0
7,416.0,335.0,256.0,109.0,82.0,102.0
8,416.0,297.0,256.0,148.0,80.0,102.0
9,416.0,322.0,256.0,87.0,117.0,102.0
10,416.0,243.0,256.0,150.0,133.0,102.0
11,416.0,375.0,256.0,63.0,88.0,102.0
12,416.0,385.0,256.0,65.0,76.0,102.0
13,416.0,389.0,256.0,55.0,82.0,102.0
14,416.0,367.0,256.0,69.0,90.0,102.0
15,416.0,316.0,256.0,129.0,81.0,102.0
16,416.0,320.0,256.0,56.0,150.0,102.0
17,416.0,391.0,256.0,124.0,0.0,102.0
18,416.0,317.0,256.0,94.0,115.0,102.0
19,416.0,325.0,256.0,83.0,117.0,102.0
20,416.0,338.0,256.0,109.0,79.0,102.0
21,416.0,384.0,256.0,21.0,121.0,102.0
22,416.0,456.0,256.0,0.0,60.0,102.0
23,416.0,366.0,256.0,21.0,139.0,102.0
24,416.0,392.0,256.0,0.0,124.0,102.0
25,416.0,400.0,256.0,0.0,109.0,102.0
26,416.0,358.0,256.0,0.0,150.0,102.0
27,416.0,384.0,256.0,132.0,0.0,102.0
28,416.0,426.0,256.0,73.0,27.0,102.0
29,416.0,405.0,256.0,0.0,111.0,102.0
30,416.0,311.0,256.0,70.0,145.0,102.0
31,416.0,439.0,256.0,77.0,0.0,102.0
32,416.0,374.0,256.0,0.0,139.0,102.0
33,416.0,459.0,256.0,57.0,0.0,102.0
34,416.0,385.0,256.0,0.0,131.0,102.0
35,416.0,394.0,256.0,121.0,0.0,102.0
36,416.0,337.0,256.0,42.0,147.0,102.0
37,416.0,393.0,256.0,0.0,115.0,102.0
38,416.0,376.0,256.0,0.0,139.0,102.0
39,416.0,443.0,256.0,71.0,0.0,102.0
