,CTAB-stock,Water-stock,GC-stock,AG-stock,AA-stock,Seeds-stock
0,112.0,141.0,69.0,0.0,0.0,28.0
1,112.0,134.0,69.0,7.0,0.0,28.0
2,112.0,127.0,69.0,14.0,0.0,28.0
3,112.0,120.0,69.0,20.0,0.0,28.0
4,112.0,114.0,69.0,27.0,0.0,28.0
5,112.0,107.0,69.0,34.0,0.0,28.0
6,112.0,100.0,69.0,41.0,0.0,28.0
7,112.0,134.0,69.0,0.0,7.0,28.0
8,112.0,127.0,69.0,7.0,7.0,28.0
9,112.0,120.0,69.0,14.0,7.0,28.0
10,112.0,114.0,69.0,20.0,7.0,28.0
11,112.0,107.0,69.0,27.0,7.0,28.0
12,112.0,100.0,69.0,34.0,7.0,28.0
13,112.0,93.0,69.0,41.0,7.0,28.0
14,112.0,127.0,69.0,0.0,14.0,28.0
15,112.0,120.0,69.0,7.0,14.0,28.0
16,112.0,114.0,69.0,14.0,14.0,28.0
17,112.0,107.0,69.0,20.0,14.0,28.0
18,112.0,100.0,69.0,27.0,14.0,28.0
19,112.0,93.0,69.0,34.0,14.0,28.0
20,112.0,86.0,69.0,41.0,14.0,28.0
21,112.0,120.0,69.0,0.0,20.0,28.0
22,112.0,114.0,69.0,7.0,20.0,28.0
23,112.0,107.0,69.0,14.0,20.0,28.0
24,112.0,100.0,69.0,20.0,20.0,28.0
25,112.0,93.0,69.0,27.0,20.0,28.0
26,112.0,86.0,69.0,34.0,20.0,28.0
27,112.0,80.0,69.0,41.0,20.0,28.0
28,112.0,114.0,69.0,0.0,27.0,28.0
29,112.0,107.0,69.0,7.0,27.0,28.0
30,112.0,100.0,69.0,14.0,27.0,28.0
31,112.0,93.0,69.0,20.0,27.0,28.0
32,112.0,86.0,69.0,27.0,27.0,28.0
33,112.0,80.0,69.0,34.0,27.0,28.0
34,112.0,73.0,69.0,41.0,27.0,28.0
35,112.0,107.0,69.0,0.0,34.0,28.0
36,112.0,100.0,69.0,7.0,34.0,28.0
37,112.0,93.0,69.0,14.0,34.0,28.0
38,112.0,86.0,69.0,20.0,34.0,28.0
39,112.0,80.0,69.0,27.0,34.0,28.0
40,112.0,73.0,69.0,34.0,34.0,28.0
41,112.0,66.0,69.0,41.0,34.0,28.0
42,112.0,100.0,69.0,0.0,41.0,28.0
43,112.0,93.0,69.0,7.0,41.0,28.0
44,112.0,86.0,69.0,14.0,41.0,28.0
45,112.0,80.0,69.0,20.0,41.0,28.0
46,112.0,73.0,69.0,27.0,41.0,28.0
47,112.0,66.0,69.0,34.0,41.0,28.0
48,112.0,59.0,69.0,41.0,41.0,28.0
0,112.0,69.0,69.0,32.0,40.0,28.0
1,112.0,114.0,69.0,1.0,26.0,28.0
2,112.0,92.0,69.0,39.0,10.0,28.0
3,112.0,92.0,69.0,29.0,19.0,28.0
